selection,cats,pages,bytes
all,,1,37360
kitchen,kitchen,1,28835
teaching,teaching,1,36518
community,community,1,29747
education,education,1,35365
volunteer,volunteer,1,30970
performance,performance,1,27479
seminarschools,seminarschools,1,30226
kitchen+teaching,"kitchen,teaching",1,37369
kitchen+community,"kitchen,community",1,30694
kitchen+education,"kitchen,education",1,37263
kitchen+volunteer,"kitchen,volunteer",1,29677
kitchen+performance,"kitchen,performance",1,28239
kitchen+seminarschools,"kitchen,seminarschools",1,31273
teaching+community,"teaching,community",1,38246
teaching+education,"teaching,education",1,37078
teaching+volunteer,"teaching,volunteer",1,37845
teaching+performance,"teaching,performance",1,37268
teaching+seminarschools,"teaching,seminarschools",1,35156
community+education,"community,education",1,38194
community+volunteer,"community,volunteer",1,30562
community+performance,"community,performance",1,31273
community+seminarschools,"community,seminarschools",1,34154
education+volunteer,"education,volunteer",1,38019
education+performance,"education,performance",1,37160
education+seminarschools,"education,seminarschools",1,35264
volunteer+performance,"volunteer,performance",1,29159
volunteer+seminarschools,"volunteer,seminarschools",1,31956
performance+seminarschools,"performance,seminarschools",1,30138
kitchen+teaching+community,"kitchen,teaching,community",1,38080
kitchen+teaching+education,"kitchen,teaching,education",1,37780
kitchen+teaching+volunteer,"kitchen,teaching,volunteer",1,37827
kitchen+teaching+performance,"kitchen,teaching,performance",1,37466
kitchen+teaching+seminarschools,"kitchen,teaching,seminarschools",1,34963
kitchen+community+education,"kitchen,community,education",1,38053
kitchen+community+volunteer,"kitchen,community,volunteer",1,31269
kitchen+community+performance,"kitchen,community,performance",1,31917
kitchen+community+seminarschools,"kitchen,community,seminarschools",1,34643
kitchen+education+volunteer,"kitchen,education,volunteer",1,38059
kitchen+education+performance,"kitchen,education,performance",1,37358
kitchen+education+seminarschools,"kitchen,education,seminarschools",1,35158
kitchen+volunteer+performance,"kitchen,volunteer,performance",1,30178
kitchen+volunteer+seminarschools,"kitchen,volunteer,seminarschools",1,33410
kitchen+performance+seminarschools,"kitchen,performance,seminarschools",1,32554
teaching+community+education,"teaching,community,education",1,38411
teaching+community+volunteer,"teaching,community,volunteer",1,38437
teaching+community+performance,"teaching,community,performance",1,38357
teaching+community+seminarschools,"teaching,community,seminarschools",1,35607
teaching+education+volunteer,"teaching,education,volunteer",1,38219
teaching+education+performance,"teaching,education,performance",1,37663
teaching+education+seminarschools,"teaching,education,seminarschools",1,35538
teaching+volunteer+performance,"teaching,volunteer,performance",1,38081
teaching+volunteer+seminarschools,"teaching,volunteer,seminarschools",1,35317
teaching+performance+seminarschools,"teaching,performance,seminarschools",1,35157
community+education+volunteer,"community,education,volunteer",1,38391
community+education+performance,"community,education,performance",1,38306
community+education+seminarschools,"community,education,seminarschools",1,35547
community+volunteer+performance,"community,volunteer,performance",1,31256
community+volunteer+seminarschools,"community,volunteer,seminarschools",1,34706
community+performance+seminarschools,"community,performance,seminarschools",1,34751
education+volunteer+performance,"education,volunteer,performance",1,38262
education+volunteer+seminarschools,"education,volunteer,seminarschools",1,35482
education+performance+seminarschools,"education,performance,seminarschools",1,35333
volunteer+performance+seminarschools,"volunteer,performance,seminarschools",1,33158
kitchen+teaching+community+education,"kitchen,teaching,community,education",1,33851
kitchen+teaching+community+volunteer,"kitchen,teaching,community,volunteer",1,38273
