research_id,title,start_date,end_date,time,city,venue,category,language,recurrence,audience,confirmation_status,dedup_status,dedup_best_score,dedup_best_title,dedup_best_date,recommended_action,source_registry_status,harvest_priority,source_name,source_url,source_ref,notes,researched_at
436cbe76e747,Emancipation Day,2026-08-01,,,Kingston,,cultural celebration,,,public,confirmed,new-candidate,0.613,Pan in D' Park,2026-08-02,add-after-final-source-check,registered-domain-only,P1,City of Kingston,https://www.cityofkingston.ca/arts-culture-and-events/feature-events/,turn720452search10,,2026-07-21
fae82f0ef6d7,Kingston Sheep Dog Trials Festival,2026-08-07,2026-08-09,,Kingston,,festival,,,public,confirmed,new-candidate,0.72,TD Kitchener Blues Festival 2026,2026-08-06,add-after-final-source-check,registered-domain-only,P1,City of Kingston,https://www.cityofkingston.ca/arts-culture-and-events/feature-events/,turn720452search10,,2026-07-21
3917df716a81,Forever Hip,2026-08-20,2026-08-22,,Kingston,,music/cultural festival,,,public,confirmed,new-candidate,0.464,Beyond the Veil of Things,2026-10-01,add-after-final-source-check,registered-domain-only,P1,City of Kingston,https://www.cityofkingston.ca/arts-culture-and-events/feature-events/,turn720452search10,,2026-07-21
c02c1b60ee7d,Rockin' the Square,2026-08-20,,,Kingston,,concert,,,public,confirmed,new-candidate,0.464,Spring Awakening,2026-09-10,add-after-final-source-check,registered-domain-only,P1,City of Kingston,https://www.cityofkingston.ca/arts-culture-and-events/feature-events/,turn720452search10,,2026-07-21
989d5d1cc8cc,Kingston Intercultural Arts Festival,2026-09-20,,,Kingston,,festival,,,public,confirmed,new-candidate,0.693,Kingston WritersFest 2026,2026-10-01,add-after-final-source-check,registered-domain-only,P1,City of Kingston,https://www.cityofkingston.ca/arts-culture-and-events/feature-events/,turn720452search16,,2026-07-21
c6fd0eb43abe,National Day for Truth and Reconciliation Commemoration,2026-09-30,,,Kingston,,commemoration,,,public,confirmed,new-candidate,0.574,Journal of the Georgia Philological Association,2026-09-30,add-after-final-source-check,registered-domain-only,P1,City of Kingston,https://www.cityofkingston.ca/arts-culture-and-events/feature-events/,turn720452search10,,2026-07-21
6b0899f1097a,Remembrance Day Civic Ceremony,2026-11-11,,,Kingston,,civic ceremony,,,public,confirmed,new-candidate,0.561,Emergence & Silent Screen,2026-11-13,add-after-final-source-check,registered-domain-only,P1,City of Kingston,https://www.cityofkingston.ca/arts-culture-and-events/feature-events/,turn720452search10,,2026-07-21
0d9049ce121d,Kingston New Year's Eve,2026-12-31,,,Kingston,,festival,,,public,confirmed,new-candidate,0.608,Kingston WritersFest 2026,2026-10-01,add-after-final-source-check,registered-domain-only,P1,City of Kingston,https://www.cityofkingston.ca/arts-culture-and-events/feature-events/,turn720452search10,,2026-07-21
cd402fc1e88e,Book Launch: 19th-Century Patterns for the Modern Body,2026-07-21,,,Kingston,,book launch,,,public,confirmed,new-candidate,0.458,COC Centre Stage: Ensemble Studio Competition & Gala,2026-10-22,add-after-final-source-check,registered-exact,P2,Queen's University,https://www.queensu.ca/eventscalendar/,turn795014search0,,2026-07-21
2d2a25e97621,National Youth Orchestra of Canada,2026-07-23,,,Kingston,,concert,,,public,confirmed,new-candidate,0.525,Amazon Canada First Novel Award Youth Short Story,2027-02-28,add-after-final-source-check,registered-exact,P2,Queen's University,https://www.queensu.ca/eventscalendar/,turn795014search0,,2026-07-21
1031987842be,Biidaaban Mixed-Reality Unveiling and Artist Talks,2026-07-27,,,Kingston,,artist talk/exhibition,,,public,confirmed,new-candidate,0.467,Caribana Pan Alive / Closing Day,2026-08-02,add-after-final-source-check,registered-exact,P2,Queen's University,https://www.queensu.ca/eventscalendar/,turn795014search0,,2026-07-21
fef7e9a33800,Messengers: IceCube Documentary Screening,2026-07-27,,,Kingston,,screening,,,public,confirmed,new-candidate,0.59,Emergence & Silent Screen,2026-11-13,add-after-final-source-check,registered-exact,P2,Queen's University,https://www.queensu.ca/eventscalendar/,turn795014search0,,2026-07-21
14569c1da832,Ingenuity Labs Presents Dr. Homayoun Najjaran,2026-08-04,,,Kingston,,public lecture,,,public,confirmed,new-candidate,0.472,University Lecture Series: Esme Fuller-Thomson on Optimal Aging,2026-10-08,add-after-final-source-check,registered-exact,P2,Queen's University,https://www.queensu.ca/eventscalendar/,turn795014search4,,2026-07-21
a7e55e686e5b,"Conversation Café: Community-Engaged Research, Teaching and Learning",2026-08-11,,,Kingston,,discussion/workshop,,,public,confirmed,new-candidate,0.453,"International Congress on Medieval Studies, Kalamazoo 62nd",2026-09-15,add-after-final-source-check,registered-exact,P2,Queen's University,https://www.queensu.ca/eventscalendar/,turn795014search7,,2026-07-21
32a9633edac3,Queen's Summer Institute,2026-08-17,2026-08-21,,Kingston,,institute/conference,,,public,confirmed,new-candidate,0.581,Queen's Commonwealth Writing Competition,2027-04-30,add-after-final-source-check,registered-exact,P2,Queen's University,https://www.queensu.ca/eventscalendar/,turn795014search4,,2026-07-21
76e58c9712a1,Make It Happen,2026-08-13,,18:00-19:30,Kingston,,workshop,,,public,confirmed,new-candidate,0.482,Emergence & Silent Screen,2026-11-13,add-after-final-source-check,registered-exact,P3,Kingston Frontenac Public Library,https://calendar.kfpl.ca/events,turn720452search0,,2026-07-21
decd4a1fe35c,Stories in the Square,2026-08-13,,10:30-11:00,Kingston,,literary/community,,,public,confirmed,new-candidate,0.5,New York Times Summer Reading Contest,2026-08-14,add-after-final-source-check,registered-exact,P3,Kingston Frontenac Public Library,https://calendar.kfpl.ca/events,turn720452search13,,2026-07-21
f449d5179e74,I Hate Hamlet,2026-09-10,2026-09-26,,Kingston,,theatre,,,public,confirmed,new-candidate,0.521,Così fan tutte (Mozart),2026-10-03,add-after-final-source-check,new-source,P1,Kingston Grand Theatre,https://www.kingstongrand.ca/events,turn795014search12,,2026-07-21
8c615a9dec7d,Destroyer,2026-09-11,,,Kingston,,concert,,,public,confirmed,new-candidate,0.45,Wildlife Photographer of the Year,2026-11-21,add-after-final-source-check,new-source,P1,Kingston Grand Theatre,https://www.kingstongrand.ca/events,turn795014search12,,2026-07-21
2aec4e624a90,KJC Fundraiser – I Hate Hamlet,2026-09-16,,,Kingston,,theatre/fundraiser,,,public,confirmed,new-candidate,0.474,Fraser Institute Student Essay Contest,2027-06-08,add-after-final-source-check,new-source,P1,Kingston Grand Theatre,https://www.kingstongrand.ca/events,turn795014search12,,2026-07-21
465b9db1ba2a,The Bomb,2026-09-26,,,Kingston,,performance,,,public,confirmed,new-candidate,0.272,BollywoodMonster Mashup 2026,2026-07-24,add-after-final-source-check,new-source,P1,Kingston Grand Theatre,https://www.kingstongrand.ca/events,turn795014search12,,2026-07-21
ffa6042401d2,Australia's Thunder From Down Under,2026-10-01,2026-10-02,,Kingston,,performance,,,public,confirmed,new-candidate,0.541,"SAAS 18th Conference, Negotiating Identity and Power",2026-10-01,add-after-final-source-check,new-source,P1,Kingston Grand Theatre,https://www.kingstongrand.ca/events,turn795014search12,,2026-07-21
71f9d74c884f,Hellhound Trail,2026-10-02,,,Kingston,,concert,,,public,confirmed,new-candidate,0.554,Beyond the Veil of Things,2026-10-01,add-after-final-source-check,new-source,P1,Kingston Grand Theatre,https://www.kingstongrand.ca/events,turn795014search12,,2026-07-21
8d7e79540325,Los Desperados,2026-10-03,,,Kingston,,concert,,,public,confirmed,new-candidate,0.486,Così fan tutte (Mozart),2026-10-03,add-after-final-source-check,new-source,P1,Kingston Grand Theatre,https://www.kingstongrand.ca/events,turn795014search12,,2026-07-21
1ae2b53ca213,HELLS BELLS,2026-10-03,,,Kingston,,concert,,,public,confirmed,new-candidate,0.61,Hell's Kitchen,2026-09-23,add-after-final-source-check,new-source,P1,Kingston Grand Theatre,https://www.kingstongrand.ca/events,turn795014search12,,2026-07-21
e9b8f1c64f51,Seniors Drop-In,2026-07-21,2026-12-18,,Gananoque,,community gathering,,,public,confirmed,new-candidate,0.464,The Concord Review,2026-08-01,add-after-final-source-check,registered-exact,P0,Town of Gananoque,https://www.gananoque.ca/community-services/events,turn952940search0,Recurring through Dec. 18,2026-07-21
c2aa4f11dd95,Grease,2026-07-21,2026-08-09,,Gananoque,,theatre,,,public,confirmed,new-candidate,0.512,Raptors,2026-12-19,add-after-final-source-check,registered-exact,P0,Town of Gananoque,https://www.gananoque.ca/community-services/events,turn952940search0,Thousand Islands Playhouse run,2026-07-21
efc79c088d29,Traditional English Afternoon Tea,2026-07-23,,,Gananoque,,cultural gathering,,,public,confirmed,new-candidate,0.529,Royal Canadian Legion Literary Contest,2026-11-01,add-after-final-source-check,registered-exact,P0,Town of Gananoque,https://www.gananoque.ca/community-services/events,turn952940search0,"Additional dates Aug. 13, Aug. 27 and Dec. 5",2026-07-21
22ba7473261c,Gananoque Farmers’ Market,2026-07-23,2026-10-08,,Gananoque,,market,,,public,confirmed,new-candidate,0.518,Indigenous Arts and Stories,2027-03-31,add-after-final-source-check,registered-exact,P0,Town of Gananoque,https://www.gananoque.ca/community-services/events,turn952940search0,Weekly,2026-07-21
