"id","printed","normalized","host","nearbyProject","contextClassifications","occurrenceCount","printedPages","pdfPages","chapters","representativeText","extractionStatus","directoryDecision","currentResolutionStatus","currentUrl","editorialNotes"
"URL-0001","mitpress.mit.edu","mitpress.mit.edu","mitpress.mit.edu","MIT Press","web resource","1","","5","Front matter or interstitial","MIT Press books may be purchased at special quantity discounts for business or sales promotional use. For information, please e-mail special_sales@ mitpress.mit.edu or write to Special Sales Department, The MIT Press, 55 Hayward Street, Cambridge, MA 02142. This book was set in Sabon by SNP Best-set Typesetter Ltd., Hong Kong and","Book-extracted","","","",""
"URL-0002","http://www.law.duke.edu/journals/lcp/","http://www.law.duke.edu/journals/lcp/","www.law.duke.edu","Duke University School of Law / Law and Contemporary Problems","article / report / publication","1","xiii","14","Preface","Notes 1. See James Boyle, ed., The Public Domain (Durham, NC: School of Law, Duke University, 2003) (Law and Contemporary Problems 66(1–2)); http:// www.law.duke.edu/journals/lcp/. 2. http://dlc.dlib.indiana.edu. Preface","Book-extracted","","","",""
"URL-0003","http://dlc.dlib.indiana.edu","http://dlc.dlib.indiana.edu","dlc.dlib.indiana.edu","Digital Library of the Commons","article / report / publication | repository / archive / digital library","2","xiii, 70","14, 85","Preface | 3 - A Framework for Analyzing the Knowledge Commons","Duke University, 2003) (Law and Contemporary Problems 66(1–2)); http:// www.law.duke.edu/journals/lcp/. 2. http://dlc.dlib.indiana.edu. Preface xiii","Book-extracted","","","",""
"URL-0004","http://wizards-of-os.org/index.php?id=1551","http://wizards-of-os.org/index.php?id=1551","wizards-of-os.org","wizards-of-os.org","conference / workshop / event","1","14","29","1 - Introduction: An Overview of the Knowledge Commons","power, and the potential to reconceptualize our knowledge environment and to unite those fighting for its freedom. (Program abstract for “The Future of the Digital Commons,” at the 2004 WOS3 Conference, http://wizards-of-os .org/index.php?id=1551) This use of the word commons is not infrequent. It can be constructive and often provides the impetus to collective action around the commons.","Book-extracted","","","",""
"URL-0005","http://www.iascp.org","http://www.iascp.org","www.iascp.org","International Association for the Study of Common Property","project / organization homepage","1","21","36","1 - Introduction: An Overview of the Knowledge Commons","3. See Wagner 2005, 176, referring to Vincent Ostrom's concept of self- governance. 4. See http://www.iascp.org. This association changed its name to the Interna- tional Association for the Study of the Commons in June 2006. 5. For a history of modern commons research, see Hess 2000, 2003.","Book-extracted","","","",""
"URL-0006","http://dlc.dlib.indiana.edu/cpr/index.php","http://dlc.dlib.indiana.edu/cpr/index.php","dlc.dlib.indiana.edu","Digital Library of the Commons","project / organization homepage | repository / archive / digital library","2","22, 69","37, 84","1 - Introduction: An Overview of the Knowledge Commons | 3 - A Framework for Analyzing the Knowledge Commons","8. Feeny et al. 1990; Andelson 1991; Hanna, Folke, and Mäler 1996; Bromley et al. 1992. See also The Comprehensive Bibliography of the Commons at http://dlc.dlib.indiana.edu/cpr/index.php. 9. The original concept was developed by Frank Michelman in “Ethics, Eco- nomics, and the Law of Property” (1982).","Book-extracted","","","",""
"URL-0007","http://www.aallnet.org/products/2004-17.pdf","http://www.aallnet.org/products/2004-17.pdf","www.aallnet.org","www.aallnet.org","article / report / publication","1","22","37","1 - Introduction: An Overview of the Knowledge Commons","Patents.” Science 305(5687):1110–1111. Bollier, David. 2004. “Why We Must Talk about the Information Commons.” Law Library Journal 96(2):267–282. http://www.aallnet.org/products/2004 -17.pdf. 22 Charlotte Hess and Elinor Ostrom","Book-extracted","","","",""
"URL-0008","http://www.law.duke.edu/journals/66LCPBoyle","http://www.law.duke.edu/journals/66LCPBoyle","www.law.duke.edu","Duke University School of Law / Law and Contemporary Problems","initiative / declaration / policy | article / report / publication","3","23, 72, 140","38, 87, 155","1 - Introduction: An Overview of the Knowledge Commons | 3 - A Framework for Analyzing the Knowledge Commons | 5 - Mertonianism Unbound? Imagining Free, Decentralized Access to Most Cultural and Scientific Material","Boyle, James. 2003. “The Second Enclosure Movement and the Construction of the Public Domain.” Law and Contemporary Problems 66(1–2):33–74. http://www.law.duke.edu/journals/66LCPBoyle. Braman, Sandra. 1989. “Defining Information: An Approach for Policymakers.” In D. M. Lamberton, ed., The Economics of Communication and Information.","Book-extracted","","","",""
"URL-0009","http://www-econ.stanford.edu/faculty/workp/swp00016.pdf","http://www-econ.stanford.edu/faculty/workp/swp00016.pdf","www-econ.stanford.edu","www-econ.stanford.edu","article / report / publication","1","23","38","1 - Introduction: An Overview of the Knowledge Commons","David, Paul A. 2000. The Digital Technology Boomerang: New Intellectual Property Rights Threaten Global “Open Science.” Stanford, CA: Department of Economics, Stanford University. http://www-econ.stanford.edu/faculty/workp/ swp00016.pdf. Dietz, Thomas, Elinor Ostrom, and Paul C. Stern. 2003. “The Struggle to Govern the Commons.” Science 302(5652):1907–1912. http://www.sciencemag.org/cgi/","Book-extracted","","","",""
"URL-0010","http://www.sciencemag.org/cgi/reprint/302/5652/1907.pdf","http://www.sciencemag.org/cgi/reprint/302/5652/1907.pdf","www.sciencemag.org","Science","repository / archive / digital library","1","23","38","1 - Introduction: An Overview of the Knowledge Commons","swp00016.pdf. Dietz, Thomas, Elinor Ostrom, and Paul C. Stern. 2003. “The Struggle to Govern the Commons.” Science 302(5652):1907–1912. http://www.sciencemag.org/cgi/ reprint/302/5652/1907.pdf. Feeny, David, Fikret Berkes, Bonnie J. McCay, and James M. Acheson. 1990. “The Tragedy of the Commons: Twenty-Two Years Later.” Human Ecology","Book-extracted","","","",""
"URL-0011","http://dlc.dlib.indiana.edu/archive/00000512/","http://dlc.dlib.indiana.edu/archive/00000512/","dlc.dlib.indiana.edu","Digital Library of the Commons","repository / archive / digital library","1","24","39","1 - Introduction: An Overview of the Knowledge Commons","and Survey of Studies on New Commons and the Internet.” Presented at the Eighth Conference of the International Association for the Study of Common Property, Bloomington, Indiana, May 31–June 4, 2000. http://dlc.dlib .indiana.edu/archive/00000512/. Hess, Charlotte. 2003. “Why the IASCP Mission Statement Should Be Changed.” Common Property Resource Digest 67:1–3. http://www.indiana.edu/~iascp/","Book-extracted","","","",""
"URL-0012","http://www.indiana.edu/~iascp/E-CPR/cpr67.pdf","http://www.indiana.edu/~iascp/E-CPR/cpr67.pdf","www.indiana.edu","Indiana University","repository / archive / digital library","1","24","39","1 - Introduction: An Overview of the Knowledge Commons",".indiana.edu/archive/00000512/. Hess, Charlotte. 2003. “Why the IASCP Mission Statement Should Be Changed.” Common Property Resource Digest 67:1–3. http://www.indiana.edu/~iascp/ E-CPR/cpr67.pdf. Hess, Charlotte, and Elinor Ostrom 2003. “Ideas, Artifacts, and Facilities: Infor- mation as a Common-Pool Resource.” Law and Contemporary Problems","Book-extracted","","","",""
"URL-0013","http://www.law.duke.edu/journals/66LCPHess","http://www.law.duke.edu/journals/66LCPHess","www.law.duke.edu","Duke University School of Law / Law and Contemporary Problems","article / report / publication","4","24, 76, 117, 140","39, 91, 132, 155","1 - Introduction: An Overview of the Knowledge Commons | 3 - A Framework for Analyzing the Knowledge Commons | 4 - Countering Enclosure: Reclaiming the Knowledge Commons | 5 - Mertonianism Unbound? Imagining Free, Decentralized Access to Most Cultural and Scientific Material","Hess, Charlotte, and Elinor Ostrom 2003. “Ideas, Artifacts, and Facilities: Infor- mation as a Common-Pool Resource.” Law and Contemporary Problems 66(1–2):111–146. http://www.law.duke.edu/journals/66LCPHess. Huberman, Bernardo A., and Rajan M. Lukose. 1997. “Social Dilemmas and Internet Congestion.” Science 277(5325):535–537.","Book-extracted","","","",""
"URL-0014","http://www.fepproject.org/policyreports/infocommons.contentsexsum.html","http://www.fepproject.org/policyreports/infocommons.contentsexsum.html","www.fepproject.org","Free Expression Policy Project","initiative / declaration / policy","1","24","39","1 - Introduction: An Overview of the Knowledge Commons","Kranich, Nancy. 2004. The Information Commons: A Public Policy Report. The Free Expression Policy Project, Brennan Center for Justice at NYU School of Law, New York. http://www.fepproject.org/policyreports/infocommons .contentsexsum.html. Lange, David. 2003. “Reimagining the Public Domain.” Law and Contempo- rary Problems 66(1–2):463–483.","Book-extracted","","","",""
"URL-0015","http://www.lessig.org/content/articles/works/Fordham.pdf","http://www.lessig.org/content/articles/works/Fordham.pdf","www.lessig.org","Lawrence Lessig","article / report / publication","1","24","39","1 - Introduction: An Overview of the Knowledge Commons","Lessig, Lawrence. 1999. “Code and the Commons (Draft 2).” Keynote Address presented at a conference on Media Convergence, Fordham Law School, New York, February 9, 1999. http://www.lessig.org/content/articles/works/ Fordham.pdf. Lessig, Lawrence. 2001. The Future of Ideas: The Fate of the Commons in a Connected World. New York: Random House.","Book-extracted","","","",""
"URL-0016","http://www.capri.cgiar.org/pdf/capriwp33.pdf","http://www.capri.cgiar.org/pdf/capriwp33.pdf","www.capri.cgiar.org","CAPRi / CGIAR","initiative / declaration / policy","1","25","40","1 - Introduction: An Overview of the Knowledge Commons","Methods for Studying Collective Action in Rural Development. CAPRi Working Paper, no. 33. International Food Policy Research Institute, 2033 K Street, N.W., Washington, DC 20006. http://www.capri.cgiar.org/pdf/capriwp33.pdf. Michelman, Frank. 1982. “Ethics, Economics, and the Law of Property.” Nomos 24(3):3–40.","Book-extracted","","","",""
"URL-0017","Ourmedia.org","Ourmedia.org","ourmedia.org","ourmedia.org","article / report / publication","1","36","51","2 - The Growth of the Commons Paradigm","and “grassroots journalism” websites. They include new web plat- forms for sharing photographs (Flickr), creative works of all types (Ourmedia.org), breaking news events (Publicnews.com), and favorite web bookmarks (del.icio.us). Wikipedia, an online encyclopedia open to anyone who wishes to contribute, is now one of the most popular sites","Book-extracted","","","",""
"URL-0018","Publicnews.com","Publicnews.com","publicnews.com","publicnews.com","article / report / publication | initiative / declaration / policy","2","36, 364","51, 379","2 - The Growth of the Commons Paradigm | Index","and “grassroots journalism” websites. They include new web plat- forms for sharing photographs (Flickr), creative works of all types (Ourmedia.org), breaking news events (Publicnews.com), and favorite web bookmarks (del.icio.us). Wikipedia, an online encyclopedia open to anyone who wishes to contribute, is now one of the most popular sites","Book-extracted","","","",""
"URL-0019","del.icio.us","del.icio.us","del.icio.us","del.icio.us","software / technical infrastructure","1","36","51","2 - The Growth of the Commons Paradigm","forms for sharing photographs (Flickr), creative works of all types (Ourmedia.org), breaking news events (Publicnews.com), and favorite web bookmarks (del.icio.us). Wikipedia, an online encyclopedia open to anyone who wishes to contribute, is now one of the most popular sites on the web, with 5.3 million unique visitors a month. It has amassed","Book-extracted","","","",""
"URL-0020","YouTube.com","YouTube.com","youtube.com","youtube.com","license / intellectual-property resource","1","37","52","2 - The Growth of the Commons Paradigm","a license. The Creative Commons licenses facilitate the easier sharing and distribution of works that might otherwise be impossible. The licenses— and a number of ambitious online hosting services such as YouTube.com, a site for the sharing of “grassroots media”—are greatly reinvigorating the flow of information and creativity.","Book-extracted","","","",""
"URL-0021","http://www.benkler.org/CoasesPenguin.html","http://www.benkler.org/CoasesPenguin.html","www.benkler.org","Yochai Benkler","article / report / publication","1","39","54","2 - The Growth of the Commons Paradigm","Harvard University Press, 2003). 14. See, for instance, Yochai Benkler, “Coase's Penguin, or Linux and the Nature of the Firm,” Yale Law Journal 112(2002):369–446, available at http://www .benkler.org/CoasesPenguin.html; and “Sharing Nicely: On Shareable Goods and the Emerging of Sharing as a Modality of Economic Production, Yale Law Journal 114(2004):273–358, available at http://benkler.org/SharingNicely.html.","Book-extracted","","","",""
"URL-0022","http://benkler.org/SharingNicely.html","http://benkler.org/SharingNicely.html","benkler.org","Yochai Benkler","article / report / publication","1","39","54","2 - The Growth of the Commons Paradigm",".benkler.org/CoasesPenguin.html; and “Sharing Nicely: On Shareable Goods and the Emerging of Sharing as a Modality of Economic Production, Yale Law Journal 114(2004):273–358, available at http://benkler.org/SharingNicely.html. 15. Metatagging and social software were major themes at Esther Dyson's PC Forum in 2005, and a topic of intense discussion on blogs run by social net-","Book-extracted","","","",""
"URL-0023","www.smartmobs.com","www.smartmobs.com","www.smartmobs.com","Smart Mobs / Howard Rheingold","article / report / publication","1","39","54","2 - The Growth of the Commons Paradigm","15. Metatagging and social software were major themes at Esther Dyson's PC Forum in 2005, and a topic of intense discussion on blogs run by social net- working experts such as Howard Rheingold (www.smartmobs.com), Clay Shirky (www.shirky.com), and Corante's Many 2 Many (http://www.corante.com/ many).","Book-extracted","","","",""
"URL-0024","www.shirky.com","www.shirky.com","www.shirky.com","Clay Shirky","article / report / publication","1","39","54","2 - The Growth of the Commons Paradigm","Forum in 2005, and a topic of intense discussion on blogs run by social net- working experts such as Howard Rheingold (www.smartmobs.com), Clay Shirky (www.shirky.com), and Corante's Many 2 Many (http://www.corante.com/ many). Growth of the Commons Paradigm","Book-extracted","","","",""
"URL-0025","http://www.corante.com/many","http://www.corante.com/many","www.corante.com","Corante / Many2Many","article / report / publication","1","39","54","2 - The Growth of the Commons Paradigm","Forum in 2005, and a topic of intense discussion on blogs run by social net- working experts such as Howard Rheingold (www.smartmobs.com), Clay Shirky (www.shirky.com), and Corante's Many 2 Many (http://www.corante.com/ many). Growth of the Commons Paradigm 39","Book-extracted","","","",""
"URL-0026","http://www.indiana.edu/~iascp/e-cpr.html","http://www.indiana.edu/~iascp/e-cpr.html","www.indiana.edu","Indiana University","media","1","40","55","2 - The Growth of the Commons Paradigm","and Control Culture (New York: Wiley, 2005). 17. See, for instance, The Common Property Resource Digest, March 2005 (issue 72), available at http://www.indiana.edu/~iascp/e-cpr.html; David Bollier and Tim Watts, Saving the Information Commons: A New Public Interest Agenda in Digital Media (Washington, DC: New America Foundation and Public","Book-extracted","","","",""
"URL-0027","http://www.earlham.edu/~peters/fos/fosblog.html","http://www.earlham.edu/~peters/fos/fosblog.html","www.earlham.edu","Peter Suber / Earlham College","license / intellectual-property resource | initiative / declaration / policy","2","40, 118","55, 133","2 - The Growth of the Commons Paradigm | 4 - Countering Enclosure: Reclaiming the Knowledge Commons","Knowledge, 2002). 18. An authoritative source for developments in this area is Open Access News, edited by Peter Suber, at http://www.earlham.edu/~peters/fos/fosblog.html. 19. More on the Creative Commons licenses can be found at http://www .creativecommons.org.","Book-extracted","","","",""
"URL-0028","http://www.creativecommons.org","http://www.creativecommons.org","www.creativecommons.org","Creative Commons","license / intellectual-property resource","1","40","55","2 - The Growth of the Commons Paradigm","18. An authoritative source for developments in this area is Open Access News, edited by Peter Suber, at http://www.earlham.edu/~peters/fos/fosblog.html. 19. More on the Creative Commons licenses can be found at http://www .creativecommons.org. 40 David Bollier","Book-extracted","","","",""
"URL-0029","http://dspace.org/index.html","http://dspace.org/index.html","dspace.org","DSpace","repository / archive / digital library","1","56","71","3 - A Framework for Analyzing the Knowledge Commons","The initial planning process requires strong leadership, great amounts of energy, and time from individuals or a small group. The impetus for MIT's DSpace repository software development (http://dspace.org/ index.html) grew from discussions between the director of the libraries and faculty members.16 The director then became the driving force behind the initiative. Kansas University's provost, David Shulenburger,","Book-extracted","","","",""
"URL-0030","http://www.wordfocus.com/word-act-blindmen.html","http://www.wordfocus.com/word-act-blindmen.html","www.wordfocus.com","www.wordfocus.com","educational / reference resource","1","68","83","3 - A Framework for Analyzing the Knowledge Commons","1. Referring to the poem of John Godfrey Sax (1816–1887), “The Blind Men and the Elephant”: “It was six men of Indostan/To learning much inclined/ Who went to see the Elephant/(Though all of them were blind). . . .” http://www .wordfocus.com/word-act-blindmen.html. 2. For longer-term analyses, feedback from the outcomes of interactions tends to change these “temporarily” exogenous variables. And, when one is analyzing","Book-extracted","","","",""
"URL-0031","http://www.openarchives.org/community/index.html","http://www.openarchives.org/community/index.html","www.openarchives.org","Open Archives Initiative","repository / archive / digital library","1","69","84","3 - A Framework for Analyzing the Knowledge Commons","3. See http://www.openarchives.org/community/index.html and http://www .openarchives.org/organization/index.html. 4. See","Book-extracted","","","",""
"URL-0032","http://www.openarchives.org/organization/index.html","http://www.openarchives.org/organization/index.html","www.openarchives.org","Open Archives Initiative","repository / archive / digital library","1","69","84","3 - A Framework for Analyzing the Knowledge Commons","3. See http://www.openarchives.org/community/index.html and http://www .openarchives.org/organization/index.html. 4. See http://www.itu.int/wsis/documents/doc_multi.asp?lang=en&id=2266|","Book-extracted","","","",""
"URL-0033","http://www.itu.int/wsis/documents/doc_multi.asp?lang=en&id=2266|2267","http://www.itu.int/wsis/documents/doc_multi.asp?lang=en&id=2266|2267","www.itu.int","International Telecommunication Union / World Summit on the Information Society","repository / archive / digital library","1","69","84","3 - A Framework for Analyzing the Knowledge Commons",".openarchives.org/organization/index.html. 4. See http://www.itu.int/wsis/documents/doc_multi.asp?lang=en&id=2266| 2267. 5. Usually referred to as an “institutional repository.” We will refer to this kind of organizational archive as a “digital repository” to avoid confusion with our","Book-extracted","","","",""
"URL-0034","http://www.eff.org/IP/DRM/fair_use_and_drm.php","http://www.eff.org/IP/DRM/fair_use_and_drm.php","www.eff.org","Electronic Frontier Foundation","project / organization homepage","1","69","84","3 - A Framework for Analyzing the Knowledge Commons","6. For more on rules, see Commons [1924] 1968; Bromley 1989; Agrawal 1994; Crawford and Ostrom 2005. 7. See http://www.eff.org/IP/DRM/fair_use_and_drm.php and http://www.eff .org/IP/DMCA/20030102_dmca_unintended_consequences.html. Also see Julie Cohen, “Call It the Digital Millennium Censorship Act: Unfair Use,” The New","Book-extracted","","","",""
"URL-0035","http://www.eff.org/IP/DMCA/20030102_dmca_unintended_consequences.html","http://www.eff.org/IP/DMCA/20030102_dmca_unintended_consequences.html","www.eff.org","Electronic Frontier Foundation","project / organization homepage","1","69","84","3 - A Framework for Analyzing the Knowledge Commons","6. For more on rules, see Commons [1924] 1968; Bromley 1989; Agrawal 1994; Crawford and Ostrom 2005. 7. See http://www.eff.org/IP/DRM/fair_use_and_drm.php and http://www.eff .org/IP/DMCA/20030102_dmca_unintended_consequences.html. Also see Julie Cohen, “Call It the Digital Millennium Censorship Act: Unfair Use,” The New Republic Online, May 23, 2000, http://www.law.georgetown.edu/faculty/jec/","Book-extracted","","","",""
"URL-0036","http://www.law.georgetown.edu/faculty/jec/unfairuse.html","http://www.law.georgetown.edu/faculty/jec/unfairuse.html","www.law.georgetown.edu","Georgetown University","license / intellectual-property resource","1","69","84","3 - A Framework for Analyzing the Knowledge Commons",".org/IP/DMCA/20030102_dmca_unintended_consequences.html. Also see Julie Cohen, “Call It the Digital Millennium Censorship Act: Unfair Use,” The New Republic Online, May 23, 2000, http://www.law.georgetown.edu/faculty/jec/ unfairuse.html. 8. See http://creativecommons.org/. 9. In Schlager and Ostrom 1992, the term used for extraction is withdrawal.","Book-extracted","","","",""
"URL-0037","http://creativecommons.org/","http://creativecommons.org/","creativecommons.org","Creative Commons","license / intellectual-property resource","3","69, 121, 198","84, 136, 213","3 - A Framework for Analyzing the Knowledge Commons | 4 - Countering Enclosure: Reclaiming the Knowledge Commons | 7 - Creating an Intellectual Commons through Open Access","Republic Online, May 23, 2000, http://www.law.georgetown.edu/faculty/jec/ unfairuse.html. 8. See http://creativecommons.org/. 9. In Schlager and Ostrom 1992, the term used for extraction is withdrawal. 10. “Offering your work under a Creative Commons license does not mean","Book-extracted","","","",""
