"id","printed","normalized","host","pdfPageStart","pdfPageEnd","printedPage","chapter","nearbyProject","contextClassification","nearbyText","sourceLineIndex"
"URL-OCC-0001","mitpress.mit.edu","mitpress.mit.edu","","5","5","","Front matter or interstitial","MIT Press","web resource","MIT Press books may be purchased at special quantity discounts for business or sales promotional use. For information, please e-mail special_sales@ mitpress.mit.edu or write to Special Sales Department, The MIT Press, 55 Hayward Street, Cambridge, MA 02142. This book was set in Sabon by SNP Best-set Typesetter Ltd., Hong Kong and","7"
"URL-OCC-0002","http://www.law.duke.edu/journals/lcp/","http://www.law.duke.edu/journals/lcp/","","14","14","xiii","Preface","Duke University School of Law / Law and Contemporary Problems","article / report / publication","Notes 1. See James Boyle, ed., The Public Domain (Durham, NC: School of Law, Duke University, 2003) (Law and Contemporary Problems 66(1–2)); http:// www.law.duke.edu/journals/lcp/. 2. http://dlc.dlib.indiana.edu. Preface","17"
"URL-OCC-0003","http://dlc.dlib.indiana.edu","http://dlc.dlib.indiana.edu","","14","14","xiii","Preface","Digital Library of the Commons","article / report / publication","Duke University, 2003) (Law and Contemporary Problems 66(1–2)); http:// www.law.duke.edu/journals/lcp/. 2. http://dlc.dlib.indiana.edu. Preface xiii","19"
"URL-OCC-0004","http://wizards-of-os.org/index.php?id=1551","http://wizards-of-os.org/index.php?id=1551","","29","29","14","1 - Introduction: An Overview of the Knowledge Commons","wizards-of-os.org","conference / workshop / event","power, and the potential to reconceptualize our knowledge environment and to unite those fighting for its freedom. (Program abstract for “The Future of the Digital Commons,” at the 2004 WOS3 Conference, http://wizards-of-os .org/index.php?id=1551) This use of the word commons is not infrequent. It can be constructive and often provides the impetus to collective action around the commons.","11"
"URL-OCC-0005","http://www.iascp.org","http://www.iascp.org","","36","36","21","1 - Introduction: An Overview of the Knowledge Commons","International Association for the Study of Common Property","project / organization homepage","3. See Wagner 2005, 176, referring to Vincent Ostrom's concept of self- governance. 4. See http://www.iascp.org. This association changed its name to the Interna- tional Association for the Study of the Commons in June 2006. 5. For a history of modern commons research, see Hess 2000, 2003.","36"
"URL-OCC-0006","http://dlc.dlib.indiana.edu/cpr/index.php","http://dlc.dlib.indiana.edu/cpr/index.php","","37","37","22","1 - Introduction: An Overview of the Knowledge Commons","Digital Library of the Commons","project / organization homepage","8. Feeny et al. 1990; Andelson 1991; Hanna, Folke, and Mäler 1996; Bromley et al. 1992. See also The Comprehensive Bibliography of the Commons at http://dlc.dlib.indiana.edu/cpr/index.php. 9. The original concept was developed by Frank Michelman in “Ethics, Eco- nomics, and the Law of Property” (1982).","7"
"URL-OCC-0007","http://www.aallnet.org/products/2004-17.pdf","http://www.aallnet.org/products/2004-17.pdf","","37","37","22","1 - Introduction: An Overview of the Knowledge Commons","www.aallnet.org","article / report / publication","Patents.” Science 305(5687):1110–1111. Bollier, David. 2004. “Why We Must Talk about the Information Commons.” Law Library Journal 96(2):267–282. http://www.aallnet.org/products/2004 -17.pdf. 22 Charlotte Hess and Elinor Ostrom","38"
"URL-OCC-0008","http://www.law.duke.edu/journals/66LCPBoyle","http://www.law.duke.edu/journals/66LCPBoyle","","38","38","23","1 - Introduction: An Overview of the Knowledge Commons","Duke University School of Law / Law and Contemporary Problems","initiative / declaration / policy","Boyle, James. 2003. “The Second Enclosure Movement and the Construction of the Public Domain.” Law and Contemporary Problems 66(1–2):33–74. http://www.law.duke.edu/journals/66LCPBoyle. Braman, Sandra. 1989. “Defining Information: An Approach for Policymakers.” In D. M. Lamberton, ed., The Economics of Communication and Information.","3"
"URL-OCC-0009","http://www-econ.stanford.edu/faculty/workp/swp00016.pdf","http://www-econ.stanford.edu/faculty/workp/swp00016.pdf","","38","38","23","1 - Introduction: An Overview of the Knowledge Commons","www-econ.stanford.edu","article / report / publication","David, Paul A. 2000. The Digital Technology Boomerang: New Intellectual Property Rights Threaten Global “Open Science.” Stanford, CA: Department of Economics, Stanford University. http://www-econ.stanford.edu/faculty/workp/ swp00016.pdf. Dietz, Thomas, Elinor Ostrom, and Paul C. Stern. 2003. “The Struggle to Govern the Commons.” Science 302(5652):1907–1912. http://www.sciencemag.org/cgi/","32"
"URL-OCC-0010","http://www.sciencemag.org/cgi/reprint/302/5652/1907.pdf","http://www.sciencemag.org/cgi/reprint/302/5652/1907.pdf","","38","38","23","1 - Introduction: An Overview of the Knowledge Commons","Science","repository / archive / digital library","swp00016.pdf. Dietz, Thomas, Elinor Ostrom, and Paul C. Stern. 2003. “The Struggle to Govern the Commons.” Science 302(5652):1907–1912. http://www.sciencemag.org/cgi/ reprint/302/5652/1907.pdf. Feeny, David, Fikret Berkes, Bonnie J. McCay, and James M. Acheson. 1990. “The Tragedy of the Commons: Twenty-Two Years Later.” Human Ecology","35"
"URL-OCC-0011","http://dlc.dlib.indiana.edu/archive/00000512/","http://dlc.dlib.indiana.edu/archive/00000512/","","39","39","24","1 - Introduction: An Overview of the Knowledge Commons","Digital Library of the Commons","repository / archive / digital library","and Survey of Studies on New Commons and the Internet.” Presented at the Eighth Conference of the International Association for the Study of Common Property, Bloomington, Indiana, May 31–June 4, 2000. http://dlc.dlib .indiana.edu/archive/00000512/. Hess, Charlotte. 2003. “Why the IASCP Mission Statement Should Be Changed.” Common Property Resource Digest 67:1–3. http://www.indiana.edu/~iascp/","18"
"URL-OCC-0012","http://www.indiana.edu/~iascp/E-CPR/cpr67.pdf","http://www.indiana.edu/~iascp/E-CPR/cpr67.pdf","","39","39","24","1 - Introduction: An Overview of the Knowledge Commons","Indiana University","repository / archive / digital library",".indiana.edu/archive/00000512/. Hess, Charlotte. 2003. “Why the IASCP Mission Statement Should Be Changed.” Common Property Resource Digest 67:1–3. http://www.indiana.edu/~iascp/ E-CPR/cpr67.pdf. Hess, Charlotte, and Elinor Ostrom 2003. “Ideas, Artifacts, and Facilities: Infor- mation as a Common-Pool Resource.” Law and Contemporary Problems","21"
"URL-OCC-0013","http://www.law.duke.edu/journals/66LCPHess","http://www.law.duke.edu/journals/66LCPHess","","39","39","24","1 - Introduction: An Overview of the Knowledge Commons","Duke University School of Law / Law and Contemporary Problems","article / report / publication","Hess, Charlotte, and Elinor Ostrom 2003. “Ideas, Artifacts, and Facilities: Infor- mation as a Common-Pool Resource.” Law and Contemporary Problems 66(1–2):111–146. http://www.law.duke.edu/journals/66LCPHess. Huberman, Bernardo A., and Rajan M. Lukose. 1997. “Social Dilemmas and Internet Congestion.” Science 277(5325):535–537.","25"
