"id","canonicalName","aliases","candidateTier","scope","bookRelations","bookCategories","bookPortrayal","mentionCount","chapters","printedPageReferences","bookPrintedUrls","sourceGroundedRoles","currentStatusGroup","detailedStatus","currentCanonicalUrl","currentOperator","currentStatusEvidence","verified","confidence","verificationSourceUrls","discoveryGeneration","directoryDecision","editorialNotes","mentionIds"
"PC-0001","ACLS History E-Book project","","Core candidate","Commons Projects","direct","digital-book project","operating at book date","1","11","Ch. 11, pp. 322","","History e-book production project supported by Michigan's library publishing service.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-11-020"
"PC-0002","AFFECT","","Support node","Supporting Ecosystem","enabler","electronic-commerce coalition","operating at book date","1","4","Ch. 4, pp. 114","http://www.affect.ucita.com/why.html","Coalition opposing restrictive electronic-commerce transaction rules.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-04-080"
"PC-0003","Amazon one-click purchasing method","","Context / analogy","Concepts and Comparisons","analogy","proprietary business-method system","operating at book date","1","9","Ch. 9, pp. 252","","Enclosure example showing patented reuse restrictions.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-09-007"
"PC-0004","Amazon pay-per-view full-text program","","Context / analogy","Concepts and Comparisons","analogy","commercial digital-book service","operating at book date","1","4","Ch. 4, pp. 99","","Commercial proposal for licensed full-text access.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-04-048"
"PC-0005","Amazon Search Inside the Book","","Context / analogy","Concepts and Comparisons","analogy","commercial book-discovery service","operating at book date","1","7","Ch. 7, pp. 196","","Free full-text search and sampling service intended to increase print sales.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-07-040"
"PC-0006","American Anthropological Association","AAA","Support node","Supporting Ecosystem","enabler","scholarly association and project steward","operating at book date","1","4","Ch. 4, pp. 95-96","","Governed and supplied the professional community for AnthroSource and AnthroCommons.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-04-011"
"PC-0007","American Association for the Advancement of Science","AAAS","Support node","Supporting Ecosystem","enabler","scientific association and publishing steward","operating at book date","1","11","Ch. 11, pp. 317","","Publishes and governs the Signal Transduction Knowledge Environment.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-11-009"
"PC-0008","American Council of Learned Societies digital-resource pilots","ACLS","Support node","Supporting Ecosystem","enabler","scholarly digital-resource program","operating at book date","1","11","Ch. 11, pp. 319","","Pilot efforts to validate and organize humanities digital resources.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-11-033"
"PC-0009","American Library Association","ALA","Support node","Supporting Ecosystem","enabler","library association","operating at book date","1","4","Ch. 4, pp. 101-102, 114-115","","Collective policy, litigation, intellectual-freedom, and public-access advocate.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-04-066"
"PC-0010","American Library Association CIPA website","","Core candidate","Commons Projects","direct","legal-information website","operating at book date","1","4","Ch. 4, pp. 115","http://www.ala.org/cipa","ALA public resource on the Children's Internet Protection Act.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-04-086"
"PC-0011","American Library Association Eldred v. Ashcroft website","","Core candidate","Commons Projects","direct","legal-information website","operating at book date","1","4","Ch. 4, pp. 114","","ALA public resource on the copyright-term case.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-04-085"
"PC-0012","American National Election Study","","Support node","Supporting Ecosystem","enabler","public opinion dataset","operating at book date","1","9","Ch. 9, pp. 271","","Longitudinal election data used to assess youth attention to public affairs.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-09-017"
"PC-0013","Andrew W. Mellon Foundation","","Support node","Supporting Ecosystem","enabler","foundation and funder","operating at book date","3","0, 4, 11","Ch. 0, pp. ix, xiii | Ch. 4, pp. 96, 100, 107 | Ch. 11, pp. 328","","Funded the workshop and later preservation and scholarly-communication initiatives. | Funded AnthroSource and the Portico and LOCKSS preservation prototypes. | Sponsored scholarly-communication institutes and campus research-behavior projects.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-00-006 | UKC-04-013 | UKC-11-028"
"PC-0014","AnthroCommons","","Core candidate","Commons Projects","direct","disciplinary portal","operating at book date","1","4","Ch. 4, pp. 95","","Companion commons portal designed around anthropologists' work practices.","BOOK_ONLY_HISTORICAL","HISTORICAL_PROJECT; CURRENT_SITE_UNVERIFIED","https://alexandriaarchive.org/wp-content/uploads/2008/anthrocommons_eval.pdf","Alexandria Archive Institute and ArchaeoCommons; created to support the American Anthropological Association's 2004 Annual Meeting","The surviving primary evaluation documents AnthroCommons as a virtual conference facility created for the 2004 AAA Annual Meeting; no current operating AnthroCommons site was verified.","2026-07-28","MEDIUM","https://alexandriaarchive.org/wp-content/uploads/2008/anthrocommons_eval.pdf | https://alexandriaarchive.org/impacts/publications/","0","","","UKC-04-010"
"PC-0015","AnthroSource","","Core candidate","Commons Projects","direct","disciplinary portal and digital collection","operating at book date","1","4","Ch. 4, pp. 95-96, 117","","American Anthropological Association portal providing online anthropology resources.","ACTIVE_AT_NEW_URL","ACTIVE_AT_NEW_URL","https://anthrosource.onlinelibrary.wiley.com/","American Anthropological Association; platform hosted by Wiley","AnthroSource is an active searchable publishing service of the American Anthropological Association on Wiley Online Library.","2026-07-28","HIGH","https://anthrosource.onlinelibrary.wiley.com/ | https://americananthro.org/publications/what-is-anthrosource/","0","","","UKC-04-009"
"PC-0016","Apache Web Server","","Core candidate","Commons Projects","direct","open-source web server","operating at book date","1","10","Ch. 10, pp. 278, 284","","Major successful FOSS project.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-10-003"
"PC-0017","Archive Registry","","Support node","Supporting Ecosystem","enabler","repository registry","operating at book date","1","3","Ch. 3, pp. 57","","Southampton-created registry of archives.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-03-012"
"PC-0018","Arizona Proposition 301","","Support node","Supporting Ecosystem","enabler","public education funding initiative","enacted public initiative","1","12","Ch. 12, pp. 333-334","","Voter-approved tax funding technology education and EconPort's institutional conditions.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-12-006"
"PC-0019","Article System","","Support node","Supporting Ecosystem","enabler","open-source journal-management software","operating at book date","1","10","Ch. 10, pp. 303","http://artsys.sourceforge.net/","Open-source system for managing e-journal publication.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-10-027"
"PC-0020","Artificial Intelligence Lab","AI Lab","Support node","Supporting Ecosystem","enabler","information-technology laboratory","operating at book date","1","12","Ch. 12, pp. 333, 341-344","http://www.ailab.arizona.edu","Built EconPort's OAI-compliant active-object digital-library infrastructure.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-12-003"
"PC-0021","ARTstor","","Core candidate","Commons Projects","direct","digital image archive","operating at book date","1","6","Ch. 6, pp. 161","","Mellon-built archival resource licensing cultural images for education.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-06-011"
"PC-0022","arXiv","","Core candidate","Commons Projects","direct","disciplinary e-print archive","operating at book date","1","11","Ch. 11, pp. 317-318","","Physics e-print environment shaped by disciplinary norms and central leadership.","ACTIVE","ACTIVE_WITH_ORGANIZATIONAL_CHANGE","https://arxiv.org/","arXiv, Inc.; Cornell University and the Simons Foundation are founding members during the transition","arXiv remains active and became an independent nonprofit, arXiv, Inc., on 2026-07-01.","2026-07-28","HIGH","https://arxiv.org/ | https://info.arxiv.org/about/index.html | https://info.arxiv.org/about/spinout_faq.html | https://blog.arxiv.org/2026/07/09/arxiv-now-hosts-over-3-million-articles/","0","","","UKC-11-012"
"PC-0023","Asset-Based Community Development Institute","ABCD Institute","Support node","Supporting Ecosystem","enabler","community-development institute","operating at book date","1","9","Ch. 9, pp. 274","","Northwestern institute developing asset-based local community methods.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-09-028"
"PC-0024","Association of College and Research Libraries","ACRL","Support node","Supporting Ecosystem","enabler","academic-library association","operating at book date","1","4","Ch. 4, pp. 102, 113, 121","","Academic-library association coordinating reform campaigns and toolkits.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-04-069"
"PC-0025","Association of Research Libraries","ARL","Support node","Supporting Ecosystem","enabler","research-library association","operating at book date","1","4","Ch. 4, pp. 102, 113, 121","","Library association coordinating scholarly-communication reform.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-04-068"
"PC-0026","Audubon Society","","Context / analogy","Concepts and Comparisons","analogy","environmental organization","operating at book date","1","2","Ch. 2, pp. 30","","Illustrates conservation-focused organization in the movement analogy.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-02-005"
"PC-0027","Baen Free Library","","Core candidate","Commons Projects","direct","open-access digital book library","operating at book date","1","7","Ch. 7, pp. 196-197","","Provides free online science-fiction novels to support discovery and print sales.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-07-039"
"PC-0028","Beijing Declaration","","Support node","Supporting Ecosystem","enabler","open-access declaration","completed declaration","1","7","Ch. 7, pp. 206","","Public statement supporting scientific information access.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-07-030"
"PC-0029","Berlin 3 meeting","","Support node","Supporting Ecosystem","enabler","open-access implementation meeting","completed meeting","1","3","Ch. 3, pp. 56","","Moved Berlin Declaration support toward institutional implementation.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-03-007"
"PC-0030","Berlin Declaration","","Support node","Supporting Ecosystem","enabler","open-access declaration","declaration under implementation","1","3","Ch. 3, pp. 56-57, 70","http://www.zim.mpg.de/openaccess-berlin/berlindeclaration.html","Declaration and implementation program supporting repository deposit and OA publishing.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-03-006"
"PC-0031","Bethesda Statement on Open Access Publishing","","Support node","Supporting Ecosystem","enabler","open-access declaration","declaration under implementation","1","7","Ch. 7, pp. 198-199","http://www.earlham.edu/~peters/fos/bethesda.htm","Stakeholder statement defining OA publishing and calling for funder policies.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-07-009"
"PC-0032","Bioline","","Core candidate","Commons Projects","direct","developing-world journal platform","operating at book date","1","7","Ch. 7, pp. 206","http://www.bioline.org.br/","OA-oriented scientific publishing and distribution service for developing regions.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-07-022"
"PC-0033","BioMed Central","BMC","Core candidate","Commons Projects","direct","open-access publisher and journal platform","operating at book date","2","4, 7","Ch. 4, pp. 96, 107, 121 | Ch. 7, pp. 183, 198, 202-203","","Peer-reviewed scientific OA publisher using author fees, advertising, and institutional support. | OA publisher using external archiving and Creative Commons licensing.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-04-020 | UKC-07-004"
"PC-0034","BioMed Central Open Access Charter","","Support node","Supporting Ecosystem","enabler","publisher policy charter","operating at book date","1","7","Ch. 7, pp. 202","http://www.biomedcentral.com/info/about/charter","BMC statement of open-access commitments.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-07-041"
"PC-0035","BioOne","","Core candidate","Commons Projects","direct","open-access publishing partnership","operating at book date","1","4","Ch. 4, pp. 96-97","","Partnership among scientific societies, academe, commerce, and libraries.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-04-024"
"PC-0036","BMC Journal of Biology","Journal of Biology","Core candidate","Commons Projects","direct","open-access journal","operating at book date","1","7","Ch. 7, pp. 192","","BMC journal used to demonstrate prestige-building through eminent editorial boards.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-07-017"
"PC-0037","Bolar Amendment","","Support node","Supporting Ecosystem","enabler","research-use legislation","enacted law","1","8","Ch. 8, pp. 239-242","","Permits research connected to generic-drug approval before patent expiration.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-08-013"
"PC-0038","Brain Research","","Context / analogy","Concepts and Comparisons","analogy","subscription journal","operating at book date","1","4","Ch. 4, pp. 88","","High-priced commercial journal used to illustrate enclosure.","STATUS_UNRESOLVED","","","","","","","","0","","","UKC-04-006"
