"id","canonicalName","aliases","category","relation","bookPortrayal","printedPages","chapterNumber","chapterTitle","evidenceLocation","sourceGroundedRole","bookPrintedUrl","projectId"
"UKC-00-001","Workshop on Scholarly Communication as a Commons","","workshop","direct","completed workshop","ix-xi","0","Front matter and Preface","front matter","2004 working session that generated the book's research agenda and papers.","","PC-0338"
"UKC-00-002","Conference on the Public Domain","","conference","enabler","completed conference","ix","0","Front matter and Preface","front matter","Duke conference identified as one origin of the scholarly-commons workshop.","","PC-0063"
"UKC-00-003","Workshop in Political Theory and Policy Analysis","","research center","enabler","operating at book date","ix-xii","0","Front matter and Preface","front matter","Indiana University center supplying long-running commons research, cases, theory, and library infrastructure.","","PC-0337"
"UKC-00-004","Digital Library of the Commons","DLC","digital library and repository","direct","operating at book date","ix","0","Front matter and Preface","front matter","Combines preservation, self-publication, multimedia storage, and interdisciplinary commons reference.","http://dlc.dlib.indiana.edu","PC-0083"
"UKC-00-005","Workshop Research Library","","research library","direct","operating at book date","xi","0","Front matter and Preface","front matter","Specialist commons research library directed by Charlotte Hess.","","PC-0339"
"UKC-00-006","Andrew W. Mellon Foundation","","foundation and funder","enabler","operating at book date","ix, xiii","0","Front matter and Preface","front matter","Funded the workshop and later preservation and scholarly-communication initiatives.","","PC-0013"
"UKC-00-007","Center for the Study of the Public Domain","","research center","enabler","operating at book date","xi","0","Front matter and Preface","front matter","Duke center represented by James Boyle in the workshop network.","","PC-0048"
"UKC-00-008","CIRCLE, The Center for Information and Research on Civic Learning and Engagement","CIRCLE","civic research center","enabler","operating at book date","xi","0","Front matter and Preface","front matter","Civic-learning research center represented by Peter Levine.","","PC-0051"
"UKC-00-009","Institute for Philosophy & Public Policy","","research institute","enabler","operating at book date","xi","0","Front matter and Preface","front matter","University of Maryland institute supporting Peter Levine's civic-commons work.","","PC-0149"
"UKC-00-010","Campaign for the Civic Mission of Schools","","civic education campaign","enabler","operating at book date","xi","0","Front matter and Preface","front matter","School civic-mission campaign chaired by Peter Levine.","","PC-0041"
"UKC-00-011","Coalition for Networked Information","CNI","network and coalition","enabler","operating at book date","xii","0","Front matter and Preface","front matter","Networked-information coalition represented by Clifford Lynch.","","PC-0055"
"UKC-00-012","Center for the Study of Institutions, Population, and Environmental Change","CIPEC","research center","enabler","operating at book date","xii","0","Front matter and Preface","front matter","Indiana University center supporting institutional and environmental commons research.","","PC-0047"
"UKC-00-013","Open Access Project at Public Knowledge","","open-access initiative","direct","operating at book date","xii","0","Front matter and Preface","front matter","Open-access policy project directed by Peter Suber.","","PC-0226"
"UKC-00-014","SPARC Open Access Newsletter","","newsletter and advocacy resource","enabler","operating at book date","xii","0","Front matter and Preface","front matter","Open-access newsletter authored by Peter Suber.","","PC-0299"
"UKC-00-015","Open Access News Blog","","news blog and discovery resource","enabler","operating at book date","xii","0","Front matter and Preface","front matter","Open-access current-awareness blog edited by Peter Suber.","","PC-0224"
"UKC-00-016","Internet2","","research-network infrastructure","enabler","operating at book date","xii","0","Front matter and Preface","front matter","Advanced network infrastructure represented by Douglas Van Houweling.","","PC-0155"
"UKC-00-017","Public Knowledge","","public-interest organization","enabler","operating at book date","xii-xiii","0","Front matter and Preface","front matter","Public-interest organization supporting open access and public knowledge policy.","","PC-0261"
"UKC-00-018","Experimental Economics Center","","research laboratory","enabler","operating at book date","xi","0","Front matter and Preface","front matter","Experimental-economics center directed by James Cox and connected to EconPort.","","PC-0114"
"UKC-01-001","International Association for the Study of Common Property","International Association for the Study of the Commons | IASCP | IASC","scholarly association","enabler","operating at book date","6, 21","1","Introduction: An Overview of the Knowledge Commons","narrative","International interdisciplinary association that organized modern commons research.","http://www.iascp.org","PC-0151"
"UKC-01-002","Workshop in Political Theory and Policy Analysis","","research center","enabler","operating at book date","16","1","Introduction: An Overview of the Knowledge Commons","narrative","Institutional home of the IAD framework and long-running commons research.","","PC-0337"
"UKC-01-003","The Future of the Digital Commons","","conference session","example","completed conference session","14","1","Introduction: An Overview of the Knowledge Commons","narrative","WOS3 session whose program framed digital commons as an alternative to commodification.","http://wizards-of-os.org/index.php?id=1551","PC-0305"
"UKC-01-004","Prince George's Information Commons","","civic information commons","direct","operating at book date","19","1","Introduction: An Overview of the Knowledge Commons","narrative","Associational commons for student and citizen production of local public knowledge.","","PC-0254"
"UKC-01-005","EconPort","","open-access digital library","direct","operating at book date","20","1","Introduction: An Overview of the Knowledge Commons","narrative","Open-access, open-source microeconomics library and experimental laboratory.","","PC-0094"
"UKC-01-006","Comprehensive Bibliography of the Commons","","specialist bibliography","direct","operating at book date","22-23","1","Introduction: An Overview of the Knowledge Commons","narrative","Comprehensive discovery bibliography hosted by the Digital Library of the Commons.","http://dlc.dlib.indiana.edu/cpr/index.php","PC-0061"
"UKC-01-007","Digital Library of the Commons","DLC","digital library and repository","direct","operating at book date","23","1","Introduction: An Overview of the Knowledge Commons","reference","Host library for the Comprehensive Bibliography of the Commons.","http://dlc.dlib.indiana.edu","PC-0083"
"UKC-02-001","EconPort","","open-access digital library","direct","operating at book date","27","2","The Growth of the Commons Paradigm","narrative","Economics literature commons serving a user community.","","PC-0094"
"UKC-02-002","Conservation Commons","","disciplinary knowledge commons","direct","operating at book date","27","2","The Growth of the Commons Paradigm","narrative","Builds a global public domain for environmental and conservation literature.","","PC-0064"
"UKC-02-003","Greenpeace","","environmental organization","analogy","operating at book date","30","2","The Growth of the Commons Paradigm","narrative","Illustrates one branch of the diversified environmental movement used as a commons analogy.","","PC-0135"
"UKC-02-004","Environmental Defense Fund","","environmental organization","analogy","operating at book date","30","2","The Growth of the Commons Paradigm","narrative","Illustrates market-oriented environmental advocacy in the movement analogy.","","PC-0108"
"UKC-02-005","Audubon Society","","environmental organization","analogy","operating at book date","30","2","The Growth of the Commons Paradigm","narrative","Illustrates conservation-focused organization in the movement analogy.","","PC-0026"
"UKC-02-006","Workshop in Political Theory and Policy Analysis","","research center","enabler","operating at book date","31","2","The Growth of the Commons Paradigm","narrative","Academic center stimulating modern commons scholarship and maintaining a specialist library.","","PC-0337"
"UKC-02-007","Digital Library of the Commons","Digital Library on the Commons | DLC","digital library and repository","direct","operating at book date","31","2","The Growth of the Commons Paradigm","narrative","Digital commons library linked to the IASCP archives.","","PC-0083"
"UKC-02-008","International Association for the Study of Common Property archives","IASCP archives","association archive","direct","operating at book date","31","2","The Growth of the Commons Paradigm","narrative","Archived record of the international commons-research association.","","PC-0152"
"UKC-02-009","Sierra Club","","environmental organization","example","operating at book date","32","2","The Growth of the Commons Paradigm","narrative","Uses the commons of nature frame in public-lands advocacy.","","PC-0291"
"UKC-02-010","Public Citizen","","public-interest organization","example","operating at book date","32","2","The Growth of the Commons Paradigm","narrative","Uses a global commons of water frame against drinking-water privatization.","","PC-0260"
"UKC-02-011","Georgetown Environmental Law and Policy Institute","","research institute","enabler","operating at book date","39","2","The Growth of the Commons Paradigm","note","Named organization working through public-trust approaches to environmental commons.","","PC-0125"
"UKC-02-012","Public Trust Alliance","","advocacy alliance","enabler","operating at book date","39","2","The Growth of the Commons Paradigm","note","Named public-trust advocacy organization associated with environmental commons.","","PC-0264"
