"id","name","family","bookFunction","printedPages","chapters","sourceGroundedScope","representativeEntries"
"UKC-TYPE-001","natural-resource commons","commons form","analogy and theoretical root","4-13, 27-34","1; 2","Shared, exhaustible natural resources provide the historical and analytic roots for knowledge-commons work.","forests | fisheries | groundwater | atmosphere | oceans"
"UKC-TYPE-002","common-pool resource","commons form","analytic resource class","5-10, 43, 46-48","1; 3","A subtractable resource from which excluding potential beneficiaries is costly.",""
"UKC-TYPE-003","public good","commons form","analytic resource class","8-10, 48, 182, 250-260","1; 3; 7; 9","A generally nonrival and difficult-to-exclude good; knowledge often has these attributes.",""
"UKC-TYPE-004","club or toll good","commons form","analytic resource class","9, 159, 162, 300-302","1; 6; 10","A relatively nonrival resource from which access can be excluded, including subscription systems.",""
"UKC-TYPE-005","private good","commons form","analytic resource class","8-9, 52, 159, 182, 278-302","1; 3; 6; 7; 10","A rival and excludable resource used as a contrast to commons provision.",""
"UKC-TYPE-006","global commons","commons form","cross-border commons","4, 10, 13, 32, 41","1; 2; 3","Resources and knowledge systems whose use and governance extend across political boundaries.",""
"UKC-TYPE-007","new commons","commons form","emergent commons category","3-4, 15, 28","1; 2","Recently recognized shared resources, especially cultural, neighborhood, infrastructure, and knowledge resources.",""
"UKC-TYPE-008","knowledge commons","commons form","umbrella form","3-21, 41-68","1; 3","A shared knowledge resource governed as a complex social-ecological system of artifacts, facilities, communities, and rules.",""
"UKC-TYPE-009","information commons","commons form","umbrella and facility form","13-14, 49, 60, 101, 112","1; 3; 4","Shared information resources or integrated campus environments combining information, technology, and assistance.","University of Arizona information commons | Indiana University Information Commons | info-commons.org"
"UKC-TYPE-010","digital commons","commons form","networked commons","13-14, 49, 60","1; 3","Digitally networked shared resources whose openness depends on technical and institutional design.",""
"UKC-TYPE-011","Internet or communication commons","commons form","network infrastructure commons","30, 35-36, 47, 92","2; 3; 4","Shared communications infrastructure and participatory network space enabling decentralized exchange.",""
"UKC-TYPE-012","intellectual commons","commons form","scholarly and creative commons","171-197, 209-242","7; 8","A domain for creating and circulating ideas through open access, custom, law, and institutional arrangements.",""
"UKC-TYPE-013","scholarly-communication commons","commons form","scholarly process commons","ix-xiii, 311-330","Front matter; 11","Shared publication processes, repositories, services, and communities supporting scholarship.","Workshop on Scholarly Communication as a Commons"
"UKC-TYPE-014","science commons or open science","commons form","research commons","55, 61, 277-303","3; 10","Shared scientific code, models, data, literature, and collaborative infrastructure.","Science Commons | UrbanSim | Open Source/Content Landcover Change Modeling Effort"
"UKC-TYPE-015","cultural commons and public domain","commons form","cultural resource commons","15, 36-37, 88-89, 92, 99, 123-140","1; 2; 4; 5","Publicly reusable cultural materials and memory resources outside or deliberately opened beyond exclusive control.","Project Gutenberg | Library of Congress | Open Content Alliance"
"UKC-TYPE-016","associational commons","commons form","civic-production commons","19, 249-251, 263, 341","1; 9; 12","Knowledge created through voluntary associations and civic participation.","Prince George's Information Commons"
"UKC-TYPE-017","libertarian commons","commons form","decentralized-production commons","19, 250-253, 341","1; 9; 12","Decentralized knowledge production without a single institutional manager.",""
"UKC-TYPE-018","commons-based peer production","commons form","production model","13, 35-36, 93, 129","1; 2; 4; 5","Distributed voluntary production coordinated through open networks.","Wikipedia | GNU/Linux"
"UKC-TYPE-019","participatory media commons","commons form","public contribution environment","36-37","2","Network platforms where users create, tag, share, and discover media.","Flickr | Ourmedia.org | Publicnews.com | YouTube.com"
"UKC-TYPE-020","civic or local information commons","commons form","civic knowledge system","19, 247-268","1; 9","Locally grounded public knowledge built jointly by residents, students, universities, and civic organizations.","Prince George's Information Commons | San Diego Dialogue"
"UKC-TYPE-021","open-access commons","commons form","open scholarly distribution","95-98, 171-207","4; 7","Royalty-free scholarly literature made available online with broad reading and reuse permissions.","Budapest Open Access Initiative | Public Library of Science | BioMed Central"
"UKC-TYPE-022","free, libre, and open-source software commons","commons form","software-production commons","34-35, 277-303","2; 10","Source code governed through open licenses, community contribution, and project rules.","GNU/Linux | Apache Web Server | Mozilla | OpenOffice"
"UKC-TYPE-023","disciplinary knowledge commons","commons form","domain-specific commons","27, 98, 316-327","2; 4; 11","Shared literature, tools, dialogue, and services organized around a field or research community.","Conservation Commons | RePEc | H-Net"
"UKC-TYPE-024","research library","library and archive form","stewardship institution","85-112, 145-163, 311-330","4; 6; 11","A library that collects, preserves, licenses, interprets, and increasingly produces scholarly resources.","Workshop Research Library | Library of Congress"
"UKC-TYPE-025","public lending library","library and archive form","access institution","103-104, 174-182","4; 7","The book's baseline access institution, governed by first sale, preservation, and public-service norms.",""
"UKC-TYPE-026","diffuse library","library and archive form","distributed library model","103","4","A library whose content, expertise, and access functions are distributed beyond one building or collection.",""
"UKC-TYPE-027","digital library","library and archive form","networked collection and service","20, 65, 97-100, 321-324, 333-347","1; 3; 4; 11; 12","A managed digital collection joined to discovery, access, preservation, and user services.","Digital Library of the Commons | National Science Digital Library | EconPort"
"UKC-TYPE-028","collaborative or federated digital library","library and archive form","cross-institutional library","99-100, 324-325","4; 11","Multiple institutions coordinate collections, protocols, and governance to provide a shared service.","Open Content Alliance | Distributed Open Digital Library | Aquifer Project"
"UKC-TYPE-029","digital collection","library and archive form","bounded digital corpus","99, 124-128, 161, 317","4; 5; 6; 11","A coherent set of digitized or born-digital objects presented as a reusable corpus.","Library of Congress Edison film collection | ARTstor | The Valley of the Shadow"
"UKC-TYPE-030","national library and catalog","library and archive form","national discovery and stewardship","124-126, 128, 139, 156","5; 6","National-scale holdings, catalogs, and preservation coordination.","Library of Congress | Library of Congress catalog"
"UKC-TYPE-031","institutional repository","library and archive form","university repository","56-57, 64, 97-98, 153, 187-190, 301, 322","3; 4; 6; 7; 10; 11","An institutionally managed archive for faculty and organizational scholarship.","DSpace | Érudit | eScholarship | DISPUTE"
"UKC-TYPE-032","disciplinary repository","library and archive form","field repository","55-57, 98, 186-192, 316-318","3; 4; 7; 11","A repository shared by a discipline rather than one institution.","arXiv | EconWPA | PhilSci Archive | RePEc"
"UKC-TYPE-033","epistemic repository","library and archive form","knowledge-production repository","54-58","3","A repository whose resource units are claims, artifacts, and community validation processes.",""
"UKC-TYPE-034","personal or self-archive","library and archive form","author-controlled archive","53, 56-57, 64, 98, 187-192","3; 4; 7","An author's own website or deposit route for openly circulating scholarship.",""
"UKC-TYPE-035","organizational archive","library and archive form","preservation model","151-153","6","An archive operated by the organization that creates or controls the content; preservation Model A or B.",""
"UKC-TYPE-036","producer archive","library and archive form","preservation model","153-155, 157","6","An archive run by content producers or their institutions; preservation Model C.","DSpace"
"UKC-TYPE-037","consumer archive","library and archive form","preservation model","155, 323","6; 11","An archive maintained by consumers or subscribing libraries; preservation Model D.",""
"UKC-TYPE-038","community-based or trusted third-party archive","library and archive form","preservation model","100, 155-159, 161","4; 6","A collectively trusted independent preservation service; preservation Model E.","Portico | LOCKSS"
"UKC-TYPE-039","dark or restricted preservation archive","library and archive form","preservation mode","157-161","6","An archive that preserves content but releases it only under specified trigger conditions.",""
"UKC-TYPE-040","specialist archive","library and archive form","subject archive","133-134, 140","5","A narrowly focused collection assembled by a specialist or community rather than a universal institution.",""
"UKC-TYPE-041","web archive","library and archive form","network preservation","148, 151","6","A preservation collection capturing portions of the changing web.","Internet Archive"
"UKC-TYPE-042","repository network or federation","library and archive form","distributed repository service","97-99, 316","4; 11","Interoperable repositories whose metadata and holdings form a larger distributed corpus.","Networked Digital Library of Theses and Dissertations | RePEc"
"UKC-TYPE-043","campus information commons","library and archive form","integrated learning facility","101","4","A shared campus facility integrating library resources, computing, consultation, and media production.","University of Arizona information commons | Indiana University Information Commons"
"UKC-TYPE-044","campus learning commons","library and archive form","collaborative learning facility","101","4","A learner-centered facility and program organized around shared learning tasks.","IUPUI first-year learning commons"
"UKC-TYPE-045","portal, directory, bibliography, or reference guide","library and archive form","discovery layer","22-23, 98, 112, 118-119, 198-207, 340-345","1; 4; 7; 12","A curated discovery structure pointing users to distributed resources, policies, or concepts.","Comprehensive Bibliography of the Commons | DOAJ | Open Access Overview | EconPort searchable portal"
"UKC-TYPE-046","open-access journal","publication environment","open publication","95-97, 171-197","4; 7","A peer-reviewed journal whose articles are freely available online.","PLoS Biology | Philosophers' Imprint | Nucleic Acids Research"
"UKC-TYPE-047","open-access publisher or journal platform","publication environment","publishing service","96-97, 183, 192, 206","4; 7","An organization or platform that publishes and distributes OA journals.","BioMed Central | Public Library of Science | SciELO | BioOne"
"UKC-TYPE-048","dynamic or compound publication environment","publication environment","process-oriented publication","316-317","11","A publication designed for continual revision or combining journal, alerts, dialogue, data, and analytic tools.","Living Reviews | Signal Transduction Knowledge Environment"
"UKC-TYPE-049","library publishing service","publication environment","library production service","322","11","A library unit supplying publication technology, production, and stewardship.","HighWire Press | Scholarly Publishing Office | Project Euclid"
"UKC-TYPE-050","information community","community and collaboration form","disciplinary community environment","103-104, 326-327, 329-330","4; 11","An integrated digital setting joining a community's resources, tools, activities, and participants.","University of Virginia American Studies information community"
"UKC-TYPE-051","collaboratory","community and collaboration form","remote research environment","13, 20, 326-327","1; 11","An online environment for remote instrument use, data analysis, communication, and research preservation.","Space Physics and Aeronomy Research Collaboratory"
"UKC-TYPE-052","virtual laboratory","community and collaboration form","online experiment environment","333-347","12","A networked setting in which distributed participants configure, run, and analyze experiments.","EconPort online experimental economics laboratory"
"UKC-TYPE-053","data archive or research database","library and archive form","data stewardship","258, 319, 328, 339","9; 11; 12","A maintained corpus of empirical data for analysis, teaching, or civic research.","National Education Longitudinal Study | EconPort experiment-data archive"
"UKC-TYPE-054","open educational resource","publication environment","open teaching resource","99-101, 118, 196-197, 293-296, 340","4; 7; 10; 12","Course, book, handbook, experiment, or learning content made openly usable.","MIT OpenCourseWare | Baen Free Library | EconPort Handbook"
"UKC-TYPE-055","civic research and mapping project","community and collaboration form","public knowledge production","247-268","9","Community-university work translating local data into public maps, indicators, deliberation, and action.","San Diego Dialogue | Prince George's geography-and-obesity mapping project"
"UKC-TYPE-056","distributed preservation system","infrastructure and governance","preservation infrastructure","100, 145-163","4; 6","Replicated, coordinated storage designed to keep digital materials available despite local failure.","LOCKSS"
"UKC-TYPE-057","trusted third-party preservation service","infrastructure and governance","preservation infrastructure","100, 156-159","4; 6","An independent organization preserving publishers' source files under agreed access triggers.","Portico"
"UKC-TYPE-058","national digital-preservation program","infrastructure and governance","preservation coordination","156, 166-167","6","A national plan or program coordinating distributed custody, standards, and stewardship.","National Digital Information and Infrastructure Preservation Program"
"UKC-TYPE-059","metadata-harvesting and repository interoperability protocol","infrastructure and governance","interoperability","48, 97, 160, 172-173, 315, 338","3; 4; 6; 7; 11; 12","A low-barrier protocol enabling services to harvest metadata across distributed repositories.","Open Archives Initiative"
"UKC-TYPE-060","semantic interoperability layer","infrastructure and governance","interoperability","324-325","11","Shared metadata, vocabularies, and relationship structures that make heterogeneous collections work together.","W3C Semantic Web | Aquifer Project"
"UKC-TYPE-061","repository software","infrastructure and governance","technical platform","56-57, 97, 153, 301, 322","3; 4; 6; 10; 11","Open software for capturing, describing, exposing, and preserving repository content.","DSpace | EPrints.org"
"UKC-TYPE-062","content-management and journal-workflow software","infrastructure and governance","technical platform","295-296, 301-303","10","Open software scaffolding contribution, editorial, and publication workflows.","Open Journal Systems | Article System | efirst XML | Plone | Zope"
"UKC-TYPE-063","version-control infrastructure","infrastructure and governance","technical collaboration","287-288","10","Tools that track contributions, branches, and versions in distributed collaborative production.","Concurrent Versioning System"
"UKC-TYPE-064","open-source project-hosting platform","infrastructure and governance","technical collaboration","278, 287","10","Shared infrastructure for hosting source, versions, issue discussion, and developer coordination.","SourceForge.net"
"UKC-TYPE-065","open-content license","infrastructure and governance","rights governance","37, 52-53, 102-103, 291-295","2; 3; 4; 10","A standardized permission instrument allowing specified reuse of creative and knowledge works.","Creative Commons | GNU Free Documentation License"
"UKC-TYPE-066","copyleft or open-source software license","infrastructure and governance","rights governance","280-284, 291, 295, 302","10","A license granting source access and reuse rights, sometimes requiring derivatives to remain open.","GNU General Public License | Berkeley Software Distribution license"
"UKC-TYPE-067","rights registry or clearance infrastructure","infrastructure and governance","rights coordination","222","8","Administrative machinery for registering exclusive rights or reducing permission transaction costs.","U.S. Patent and Trademark Office | Copyright Clearance Center"
"UKC-TYPE-068","open-access declaration, mandate, or policy","infrastructure and governance","policy governance","96, 136-137, 171-207","4; 5; 7","A public statement, funder rule, institutional resolution, or law establishing expectations for open dissemination.","Budapest Open Access Initiative | Berlin Declaration | NIH public-access policy"
"UKC-TYPE-069","advocacy coalition, campaign, or toolkit","infrastructure and governance","collective action","95-103, 112-121, 193-194","4; 7","Coordinated organizations and practical resources that counter enclosure and change scholarly practice.","SPARC | Information Access Alliance | Create Change | Scholarly Communication Toolkit"
"UKC-TYPE-070","foundation, public trust, or funding program","infrastructure and governance","resource provision","96-100, 148-161, 333-345","4; 6; 12","Funding and institutional sponsorship that launches, experiments with, or sustains commons infrastructure.","Andrew W. Mellon Foundation | Digital Opportunity Investment Trust | National Science Foundation"
"UKC-TYPE-071","research-network infrastructure","infrastructure and governance","network provision","xii, 92, 326-327","Front matter; 4; 11","High-capacity network services supporting distributed scholarship and collaboratories.","Internet2"
