"id","family","name","directoryRole","definition","bookChapters","printedPages"
"CT-001","Conceptual commons","Knowledge commons","Primary type","A shared knowledge resource system whose community, rules, resource characteristics, interactions, and outcomes can be analyzed together.","1, 3","3-25; 41-82"
"CT-002","Conceptual commons","Information commons","Primary type","An information resource or environment organized for shared access, use, contribution, or stewardship.","1, 2, 3, 11","3-25; 27-40; 41-82; 311-331"
"CT-003","Conceptual commons","Intellectual commons","Primary type","A shared domain for the creation, exchange, and reuse of intellectual work.","5, 7, 8","123-143; 171-207; 209-245"
"CT-004","Conceptual commons","Scholarly communication commons","Primary type","Shared infrastructures, norms, repositories, and publication systems for scholarly communication.","1, 3, 5, 7, 11","3-25; 41-82; 123-143; 171-207; 311-331"
"CT-005","Conceptual commons","Digital commons","Primary type","A commons whose resources, access facilities, and participation are substantially digital and networked.","1, 2, 3, 4","3-25; 27-40; 41-82; 85-121"
"CT-006","Conceptual commons","Open-access commons","Access model and primary type","A knowledge commons organized around free online access and permissions broad enough for scholarly use.","3, 4, 7","41-82; 85-121; 171-207"
"CT-007","Conceptual commons","Scientific or research commons","Primary type","Shared scientific literature, data, models, tools, or collaborative infrastructure supporting research.","5, 8, 10","123-143; 209-245; 277-309"
"CT-008","Conceptual commons","Cultural commons","Primary type","Shared cultural works, heritage materials, archives, and the institutions or rules sustaining access to them.","4, 5","85-121; 123-143"
"CT-009","Civic and educational","Civic knowledge commons","Primary type","A participatory civic resource through which residents, students, or organizations create and use public knowledge.","1, 9","19-20; 247-275"
"CT-010","Civic and educational","Learning commons","Primary type","A shared educational environment combining information resources, technology, instruction, and collaborative learning.","4, 11","96-107; 311-331"
"CT-011","Civic and educational","Community information commons","Primary type","A community-facing information environment that supports local access, deliberation, contribution, and public problem solving.","9, 11","247-275; 321-327"
"CT-012","Collections and repositories","Digital library","Primary type","A managed digital collection with discovery, access, organization, and often preservation services.","3, 4, 6, 12","41-82; 85-121; 145-167; 333-347"
"CT-013","Collections and repositories","Digital archive","Primary type","A managed body of digital objects maintained across time with provenance, authenticity, or preservation responsibilities.","4, 5, 6","85-121; 123-143; 145-167"
"CT-014","Collections and repositories","Institutional repository","Primary type","A repository organized by an institution to collect, expose, and often preserve its community's scholarly output.","3, 4, 6, 7","48-58; 85-121; 151-156; 171-207"
"CT-015","Collections and repositories","Disciplinary repository","Primary type","A repository organized around a discipline or research community rather than one institution.","3, 4, 7","48-58; 85-121; 171-207"
"CT-016","Collections and repositories","Epistemic repository","Primary type","A repository designed around a community's structured knowledge, concepts, evidence, and reusable research objects.","3, 12","63-66; 336-340"
"CT-017","Collections and repositories","Specialist archive","Primary type","A focused archive built for a specialist scholarly field, corpus, format, or community.","5","133-140"
"CT-018","Collections and repositories","Community-based archive","Primary type","An archive shaped and maintained with direct participation by the community represented in its holdings.","5, 6","133-140; 151-157"
"CT-019","Collections and repositories","Author self-archive","Submission model","A repository or site through which authors deposit and expose their own work.","3, 6, 7","55-58; 153-156; 171-207"
"CT-020","Collections and repositories","Open educational resource library","Primary type","A collection or gateway providing openly accessible teaching and learning materials.","4, 12","96-107; 333-347"
"CT-021","Discovery and portals","Searchable portal","Primary type","A central discovery interface that searches or organizes resources held locally and elsewhere.","11, 12","321-327; 340-345"
"CT-022","Discovery and portals","Annotated link gateway","Primary Polymyth model","A link-only gateway that points to off-site resources and adds classification metadata and descriptive context.","12","340-345"
"CT-023","Discovery and portals","Metadata aggregation or harvesting service","Technical enabler","A service that collects standardized metadata from distributed repositories to support shared discovery.","3, 7, 12","56-57; 171-173; 344-345"
"CT-024","Discovery and portals","Directory or registry","Primary type or technical enabler","A structured listing of projects, repositories, policies, people, resources, or implementations.","3, 4, 7, 12","56-57; 85-121; 171-207; 340-345"
"CT-025","Publishing and access","Open-access journal","Primary type","A journal that makes its articles freely accessible online under an open-access delivery model.","4, 7","85-121; 171-207"
"CT-026","Publishing and access","Open publication platform","Primary type","A shared service for publishing, reviewing, distributing, or linking scholarly works outside a conventional closed journal system.","4, 7, 11","85-121; 171-207; 311-331"
