"id","projectId","bookSeed","bookEraUrl","statusGroup","detailedStatus","currentCanonicalUrl","operator","statusDetail","continuityNote","officialSourceUrls","verified","confidence"
"STATUS-001","PC-0083","Digital Library of the Commons","http://dlc.dlib.indiana.edu/","ACTIVE","ACTIVE","https://dlc.dlib.indiana.edu/","Indiana University Libraries and the Ostrom Workshop, Indiana University","The repository and its about page are online; Indiana University Libraries' 2026 guide describes it as a freely available gateway to commons literature.","Same institutional repository; HTTP-era book URL is now represented by HTTPS.","https://dlc.dlib.indiana.edu/ | https://dlc.dlib.indiana.edu/dlc/info/aboutcommons.html | https://guides.libraries.indiana.edu/c.php?g=1045635&p=7587302 | https://ostromworkshop.indiana.edu/library/index.html","2026-07-28","HIGH"
"STATUS-002","PC-0094","EconPort","http://www.econport.org/","ACTIVE","ACTIVE","https://econport.org/","Experimental Economics Center, Andrew Young School of Policy Studies, Georgia State University","The economics digital library, teaching materials, and experiment services remain online.","Same project at HTTPS; Georgia State's Experimental Economics Center currently links EconPort.","https://econport.org/ | https://www.econport.org/econport/request?page=web_about | https://excen.gsu.edu/people.html","2026-07-28","HIGH"
"STATUS-003","PC-0064","Conservation Commons","http://www.conservationcommons.org/","STATUS_UNRESOLVED","OFFICIAL_REFERENCE_PAGE; CURRENT_OPERATIONS_UNCONFIRMED","https://iucn.org/content/conservation-commons","Multi-organization Conservation Commons initiative; IUCN was a participating member and signatory","IUCN retains an official page describing its membership and the Commons principles, but no current operating project portal was verified at the book-era domain.","Use the surviving IUCN page as the current authoritative reference. Treat the book-era project domain as historical until a current operator confirms otherwise.","https://iucn.org/content/conservation-commons | https://portals.iucn.org/library/sites/library/files/resrecfiles/WCC_2004_REC_85_EN.pdf | https://portals.iucn.org/library/sites/library/files/resrecfiles/WCC_2008_RES_12_EN.pdf","2026-07-28","MEDIUM"
"STATUS-004","PC-0015","AnthroSource","http:///www.aaanet.org/anthrosource/index.htm","ACTIVE_AT_NEW_URL","ACTIVE_AT_NEW_URL","https://anthrosource.onlinelibrary.wiley.com/","American Anthropological Association; platform hosted by Wiley","AnthroSource is an active searchable publishing service of the American Anthropological Association on Wiley Online Library.","The AAA-era informational URL in the book has been replaced by the Wiley-hosted service and AAA's current AnthroSource information page.","https://anthrosource.onlinelibrary.wiley.com/ | https://americananthro.org/publications/what-is-anthrosource/","2026-07-28","HIGH"
"STATUS-005","PC-0014","AnthroCommons","http://www.anthrocommons.org/","BOOK_ONLY_HISTORICAL","HISTORICAL_PROJECT; CURRENT_SITE_UNVERIFIED","https://alexandriaarchive.org/wp-content/uploads/2008/anthrocommons_eval.pdf","Alexandria Archive Institute and ArchaeoCommons; created to support the American Anthropological Association's 2004 Annual Meeting","The surviving primary evaluation documents AnthroCommons as a virtual conference facility created for the 2004 AAA Annual Meeting; no current operating AnthroCommons site was verified.","Use the Alexandria Archive Institute evaluation as the canonical surviving project documentation, not as an active service URL.","https://alexandriaarchive.org/wp-content/uploads/2008/anthrocommons_eval.pdf | https://alexandriaarchive.org/impacts/publications/","2026-07-28","MEDIUM"
"STATUS-006","PC-0022","arXiv","http://www.arxiv.org/","ACTIVE","ACTIVE_WITH_ORGANIZATIONAL_CHANGE","https://arxiv.org/","arXiv, Inc.; Cornell University and the Simons Foundation are founding members during the transition","arXiv remains active and became an independent nonprofit, arXiv, Inc., on 2026-07-01.","The URL remains stable; organizational stewardship changed from Cornell hosting to an independent nonprofit. Earlier historical hostnames included xxx.lanl.gov.","https://arxiv.org/ | https://info.arxiv.org/about/index.html | https://info.arxiv.org/about/spinout_faq.html | https://blog.arxiv.org/2026/07/09/arxiv-now-hosts-over-3-million-articles/","2026-07-28","HIGH"
"STATUS-007","PC-0090","DSpace","http://www.dspace.org/","ACTIVE","ACTIVE","https://dspace.org/","DSpace community; organizational support and services provided by LYRASIS","The open-source repository platform and community remain active.","Same project at HTTPS; institutional support now sits with LYRASIS rather than the book-era MIT/HP origin story.","https://dspace.org/ | https://lyrasis.org/dspace-direct/","2026-07-28","HIGH"
"STATUS-008","PC-0111","Érudit","http://www.erudit.org/","ACTIVE","ACTIVE","https://www.erudit.org/en/","Consortium Érudit: Université de Montréal, Université Laval, and Université du Québec à Montréal","The scholarly publishing and dissemination platform remains active.","Same project at its current multilingual HTTPS site.","https://www.erudit.org/en/ | https://recherche.umontreal.ca/english/strategic-initiatives/erudit/ | https://www.erudit.org/public/documents/AnnualReport_22-23.pdf","2026-07-28","HIGH"
"STATUS-009","PC-0112","eScholarship","http://repositories.cdlib.org/escholarship/","ACTIVE_AT_NEW_URL","ACTIVE_AT_NEW_URL","https://escholarship.org/","California Digital Library, University of California","The University of California's open-access repository and publishing platform remains active.","The book-era California Digital Library path moved to the dedicated eScholarship domain.","https://escholarship.org/ | https://cdlib.org/services/pad/escholarship/ | https://osc.universityofcalifornia.edu/2022/04/escholarship-celebrates-its-20-year-anniversary/","2026-07-28","HIGH"
"STATUS-010","PC-0150","DISPUTE","http://dispute.library.uu.nl/","ABSORBED","ABSORBED_INTO_ACTIVE_SUCCESSOR","https://dspace.library.uu.nl/","Utrecht University Library","The DISPUTE demonstration site evolved into the Igitur Archive and Utrecht University Repository, which is active at Utrecht's DSpace domain.","Model as historical project absorbed into Utrecht University Repository, not as an independent current service.","https://dspace.library.uu.nl/ | https://dspace.library.uu.nl/bitstream/handle/1874/22993/evolution-igitur-archive-2007.pdf | https://explore.openaire.eu/search/dataprovider?datasourceId=opendoar____%3A%3A38b3eff8baf56627478ec76a704e9b52 | https://opendoar.ac.uk/repository/101","2026-07-28","HIGH"
