"id","type","family","bookBasis"
"REL-001","OPERATED_BY","Institutional and organizational","pp. 44-50, 97-102, 152-159, 322-327, 341-346"
"REL-002","HOSTED_BY","Institutional and organizational","pp. 44-50, 97-102, 152-159, 322-327, 341-346"
"REL-003","OWNED_BY","Institutional and organizational","pp. 44-50, 97-102, 152-159, 322-327, 341-346"
"REL-004","FOUNDED_BY","Institutional and organizational","pp. 44-50, 97-102, 152-159, 322-327, 341-346"
"REL-005","CREATED_BY","Institutional and organizational","pp. 44-50, 97-102, 152-159, 322-327, 341-346"
"REL-006","FUNDED_BY","Institutional and organizational","pp. 44-50, 97-102, 152-159, 322-327, 341-346"
"REL-007","SPONSORED_BY","Institutional and organizational","pp. 44-50, 97-102, 152-159, 322-327, 341-346"
"REL-008","AFFILIATED_WITH","Institutional and organizational","pp. 44-50, 97-102, 152-159, 322-327, 341-346"
"REL-009","PARTNER_OF","Institutional and organizational","pp. 44-50, 97-102, 152-159, 322-327, 341-346"
"REL-010","MEMBER_OF","Institutional and organizational","pp. 44-50, 97-102, 152-159, 322-327, 341-346"
"REL-011","PART_OF","Institutional and organizational","pp. 44-50, 97-102, 152-159, 322-327, 341-346"
"REL-012","SERVES","Institutional and organizational","pp. 44-50, 97-102, 152-159, 322-327, 341-346"
"REL-013","IMPLEMENTS_STANDARD","Technical and discovery","pp. 56, 61-63, 97, 171-173, 324-325, 338, 344-345"
"REL-014","IMPLEMENTS_PROTOCOL","Technical and discovery","pp. 56, 61-63, 97, 171-173, 324-325, 338, 344-345"
"REL-015","EXPOSES_API","Technical and discovery","pp. 338, 344-345"
"REL-016","OAI_HARVESTS_FROM","Technical and discovery","pp. 56, 97, 171-173, 344-345"
"REL-017","HARVESTED_BY","Technical and discovery","pp. 56, 97, 171-173, 344-345"
"REL-018","INDEXED_BY","Technical and discovery","pp. 56, 97, 171-173, 324-325, 344-345"
"REL-019","FEDERATES_WITH","Technical and discovery","pp. 324-325"
"REL-020","INTEROPERATES_WITH","Technical and discovery","pp. 61-63, 97, 171-173, 324-325"
"REL-021","LINKS_TO","Technical and discovery","pp. 340-341, 344-345"
"REL-022","AGGREGATES_METADATA_FROM","Technical and discovery","pp. 56, 97, 171-173, 344-345"
"REL-023","REPUBLISHED_BY","Technical and discovery","pp. 324-325, 344-345"
"REL-024","PRESERVED_BY","Preservation","pp. 151-163"
"REL-025","ARCHIVED_AT","Preservation","pp. 151-163"
"REL-026","MIRRORED_BY","Preservation","pp. 151-163"
"REL-027","CACHED_BY","Preservation","pp. 157-158"
"REL-028","BACKED_UP_BY","Preservation","pp. 151-163"
"REL-029","DEPOSITS_IN","Preservation","pp. 151-163"
"REL-030","PROVIDES_FALLBACK_ACCESS_THROUGH","Preservation","pp. 157-163"
"REL-031","PRECEDED_BY","History and lineage","pp. 57, 98, 100, 325, 346-347"
"REL-032","SUCCEEDED_BY","History and lineage","pp. 57, 98, 100, 325, 346-347"
"REL-033","RENAMED_TO","History and lineage","pp. 57, 98, 100, 325, 346-347"
"REL-034","MOVED_TO","History and lineage","pp. 57, 98, 325, 346-347"
"REL-035","MERGED_INTO","History and lineage","pp. 57, 98, 100, 325, 346-347"
"REL-036","ABSORBED_BY","History and lineage","pp. 57, 98, 100, 325, 346-347"
"REL-037","SPAWNED","History and lineage","pp. 57, 100, 325"
"REL-038","MODELED_ON","History and lineage","pp. 57, 98, 100, 325, 346-347"
"REL-039","PROVIDED_MODEL_FOR","History and lineage","pp. 57, 98, 100, 325, 346-347"
"REL-040","REPLACED_URL_WITH","History and lineage","pp. 98, 145-148, 323, 346-347"
"REL-041","COVERS_DISCIPLINE","Scope, access, and governance","pp. 4-5, 44-53, 171-174, 313-320"
"REL-042","COVERS_SUBJECT","Scope, access, and governance","pp. 4-5, 44-53, 313-320"
"REL-043","COVERS_GEOGRAPHY","Scope, access, and governance","pp. 4-5, 44-46"
"REL-044","SERVES_AUDIENCE","Scope, access, and governance","pp. 48-50, 313-320"
"REL-045","PROVIDES_RESOURCE_TYPE","Scope, access, and governance","pp. 47-48, 313-320, 338-340"
"REL-046","USES_LICENSE","Scope, access, and governance","pp. 50-53, 171-174"
"REL-047","HAS_ACCESS_MODEL","Scope, access, and governance","pp. 52-53, 171-174"
"REL-048","GOVERNED_BY","Scope, access, and governance","pp. 44-53"
"REL-049","CURATED_BY","Scope, access, and governance","pp. 48-53, 62-64, 345-346"
"REL-050","ACCEPTS_CONTRIBUTIONS_FROM","Scope, access, and governance","pp. 48-53, 62-64, 341-346"
